Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"HERCULES CAPITAL, INC",,Terminated,05/08/2017,01/13/2018,"20 to 99",1,CA
"Hercules Capital, Inc. (4B6) prev Hercules Technology Growth",,Terminated,03/14/2011,08/16/2018,"20 to 99",1,CA
Heritage,,Open,05/06/2019,,"100 to 499",3,"FL, RI"
"Heritage Bank",,Terminated,07/30/2013,09/26/2019,"20 to 99",1,GA
"Heritage Bank",,Open,01/06/2009,,"20 to 99",1,GA
"Heritage Bank",,Open,05/20/2019,,"500 to 999",68,"OR, WA"
"Heritage Bank",,Open,08/31/2009,,"20 to 99",2,AZ
"Heritage Bank",,Open,02/01/2012,,"20 to 99",1,TX
"Heritage Bank",,Open,08/07/2019,,"20 to 99",1,TX
"Heritage Bank & Trust",,Open,05/11/2016,,"20 to 99",1,TN
"Heritage Bank of Commerce",,Open,12/02/2008,,"100 to 499",1,CA
"Heritage Bank of the Ozarks",,Open,07/02/2009,,"10 to 19",1,MO
"HERITAGE COMMUNITY BANK",,Open,11/04/2008,,"10 to 19",2,MO
"HERITAGE COMMUNITY BANK",,Terminated,05/19/2017,04/28/2019,"20 to 99",1,SC
"heritage communiyt bank",,Open,05/15/2012,,"20 to 99",1,SC
"Heritage Family Offices, LLP",,Open,05/04/2017,,"10 to 19",1,AZ
"Heritage Financial Group, Inc","Heritage Financial Group, Inc",Open,12/09/2019,,"100 to 499",1,IN
"Heritage Financial Services of Okeechobee, Inc.",,Open,12/05/2007,,"5 to 9",1,FL
"Heritage Financial Services, LLC",,Open,10/25/2018,,"20 to 99",1,MA
"Heritage First Bancshares, Inc.",,Open,01/06/2020,,"20 to 99",1,GA
"Heritage First Bancshares, Inc.",,Open,12/10/2013,,"20 to 99",3,GA
"Heritage Insurance Agency",,Terminated,07/17/2012,11/09/2016,"5 to 9",1,SC
"Heritage Insurance Agency, LLC",,Open,07/16/2012,,"5 to 9",1,SC
"Heritage Insurance Service",,Terminated,11/07/2013,10/01/2017,"10 to 19",1,KY
"Heritage Pacific Financial","HP Locate",Open,03/08/2011,,"100 to 499",1,TX
"Heritage Pre-Need Company",,Open,08/02/2012,,"20 to 99",1,TX
"Heritage Property & Casualty Insurance Company",,Terminated,08/03/2016,07/02/2017,"100 to 499",1,FL
"Heritage Property and Casualty Company",,Open,11/01/2017,,"100 to 499",1,FL
"Heritage Property and Casualty Insurance",,Terminated,10/16/2017,12/01/2017,"100 to 499",1,FL
"Heritage South Community Credit Union",,Open,12/30/2016,,"20 to 99",1,TN
"Heritage South Credit Union",,Open,06/15/2017,,"20 to 99",1,AL
"HERITAGE SOUTHEAST BANK","The Heritage Bank",Open,10/03/2008,,"100 to 499",1,GA
"Heritage Trust Federal Credit Union",,Terminated,12/15/2011,06/23/2012,"100 to 499",1,SC
"Heritage Trust Federal Credit Union",,Open,03/22/2010,,"100 to 499",1,SC
"Heritage Vision Plans, Inc.","Heritage Vision Plans, Inc.",Open,02/13/2019,,"10 to 19",1,MI
"HeritageBank of the South",,Terminated,03/26/2009,05/27/2009,"100 to 499",7,"FL, GA"
"HeritageBank of the South",,Open,08/09/2011,,"500 to 999",39,"AL, CO, FL, GA"
"Herlong Bates Burnett Insurance",,Open,10/03/2012,,"10 to 19",1,SC
"Herlong Bates Burnett Insurance Inc",,Terminated,01/05/2012,01/09/2014,"10 to 19",1,SC
"Herndon Capital Management, LLC",,Open,04/29/2010,,"10 to 19",1,GA
"Herrera Insurance Agency Inc",,Open,03/23/2017,,"5 to 9",1,FL
"Herring Bank",,Terminated,04/05/2017,04/17/2017,"20 to 99",1,CO
"Herring Bank",,Open,04/17/2017,,"100 to 499",9,"CO, OK, TX"
"Herring Bank",,Terminated,03/17/2017,05/04/2017,"100 to 499",8,"CO, OK, TX"
"Hershey Federal Credit Union",,Open,04/21/2009,,"20 to 99",1,PA
"Hershey State Bank",,Open,02/14/2019,,"20 to 99",2,NE
"Hertvik Insurance Group",,Open,04/06/2016,,"10 to 19",1,OH
"Hester,Heitel & Associates",,Open,07/16/2007,,"10 to 19",1,AZ
"Hewitt Coleman & Associates, Inc.",,Open,11/23/2011,,"20 to 99",1,SC
"Hewson & Van Hellemont, P.C.","Hewson & Van Hellemont, P.C.",Open,03/15/2013,,"20 to 99",1,MI
"HF Financial","MassMutual Carolinas",Open,09/22/2017,,"20 to 99",1,NC
"HF Management Services, LLC",,Open,05/23/2017,,"5,000 to 9,999",2,"FL, NY"
"HFI, Ltd.",,Open,06/12/2008,,"5 to 9",1,SC
"HGS Auditing Service",,Open,11/28/2007,,"20 to 99",1,AZ
"Hi.Q Inc","Health IQ",Open,04/23/2018,,"100 to 499",2,CA
"Hi.Q Inc.",,Open,03/11/2020,,"100 to 499",2,CA
"Hialeah Gardens Auto Tag",,Terminated,09/17/2013,08/16/2015,"20 to 99",11,GA
"Hickman Land Title Company",,Open,10/14/2010,,"20 to 99",2,UT
"Hickok & Boardman Financial Planning & GRP Benefit",,Open,09/20/2016,,"20 to 99",2,VT
"Hickory Point Bank & Trust",,Open,08/13/2019,,"100 to 499",11,IL
"Hickory Point Bank and Trust, FSB",,Open,06/27/2011,,"100 to 499",1,IL
"High Point Bank and Trust Company",,Open,01/03/2013,,"100 to 499",1,NC
"High Trust Bank",,Open,01/21/2009,,"20 to 99",2,GA
"Highbridge Principal Strategies, LLC",,Terminated,03/31/2016,06/15/2019,"100 to 499",1,NY
"HIGHER EDUCATION SERVICING CORP",,Open,05/21/2018,,"20 to 99",1,TX
"Higher Moment Capital, LLC",,Open,07/07/2016,,"5 to 9",1,MA
"Higher One Inc.",,Open,09/26/2008,,"100 to 499",1,CT
"Higher One, Inc",,Open,10/22/2012,,"500 to 999",1,CT
"Highland Capital Group, LLC",,Open,10/25/2017,,"20 to 99",3,"IL, NY"
"Highland Commercial Bank",,Open,07/09/2013,,"20 to 99",1,GA
"Highland Commercial Mortgage LLC",,Open,08/24/2016,,"10 to 19",1,AL
"Highland Consulting Associates, Inc.","Highland Consulting Associates, Inc.",Open,08/04/2010,,"20 to 99",1,OH
"Highland Home Loans","Highland Home Loans",Terminated,12/04/2019,12/06/2019,"20 to 99",1,TX
"Highland HomeLoans, LLC",,Open,03/19/2019,,"20 to 99",1,TX
"Highlands Residential MOrtgage",,Open,12/06/2016,,"20 to 99",1,TX
"Highlands State Bank",,Open,09/19/2016,,"20 to 99",7,NJ
"Highlands Union Bank",,Open,06/18/2008,,"100 to 499",18,"NC, TN, VA"
"Highlands Union Bank","Highlands Union Bank",Open,09/07/2017,,"100 to 499",17,"NC, TN, VA"
"Highmark BCBSD Inc.",,Terminated,11/20/2012,09/28/2016,"500 to 999",1,DE
"Highmark BCBSD Inc.",,Open,08/17/2016,,"2,500 to 4,999",9,"DE, PA, WV"
"Highmark Health",,Terminated,08/02/2016,09/11/2016,"10,000 and over",24,"DE, PA, WV"
"Highmark Health",,Terminated,05/02/2014,09/28/2016,"100 to 499",1,PA
"Highmark Health",,Open,08/15/2016,,"500 to 999",9,"DE, PA, WV"
"Highmark Health Services",,Terminated,01/20/2010,09/29/2016,"10,000 and over",7,PA
"Highmark Health Solutions, Inc",,Terminated,05/02/2014,09/28/2016,"1,000 to 2,499",1,PA
"Highmark Inc",,Open,08/15/2016,,"5,000 to 9,999",9,"DE, PA, WV"
"Highmark West Virginia Inc.",,Open,08/15/2016,,"500 to 999",9,"DE, PA, WV"
"Highmark West Virginia, Inc dba Mountain State Blue Cross Blue Shield",,Terminated,01/29/2010,09/28/2016,"500 to 999",3,WV
"Highmark, Inc",,Terminated,06/25/2010,03/02/2020,"10,000 and over",2,PA
"HIIG SERVICE COMPANY (HSC)",,Open,07/13/2015,,"100 to 499",12,"AL, FL, GA, IL, IN, MA, NJ, OK, PA, TX"
"Hilb Rogal & Hobbs",,Terminated,01/02/2008,03/02/2020,"2,500 to 4,999",8,"AZ, CO, GA"
"Hilcorp Ventures Inc.",,Open,07/13/2011,,"20 to 99",1,TX
"Hill & Associates, Inc.",,Open,06/21/2006,,"10 to 19",1,NC
"Hillcrest Bank",,Open,07/23/2008,,"100 to 499",12,"CO, FL, KS, MO, TX"
"Hilldun Corporation",,Open,07/27/2018,,"20 to 99",1,NY
"Hilliger Inc.",,Open,08/15/2013,,"5 to 9",1,CA
"Hillsboro Title Company, Inc.",,Terminated,01/25/2011,03/07/2019,"20 to 99",6,MO
"Hillsborough Title LLC",,Open,03/12/2015,,"100 to 499",1,FL
"Hillspire, LLC",,Open,11/06/2019,,"20 to 99",1,CA
"Hillspire, LLC","Hillspire, LLC",Terminated,06/18/2018,02/03/2020,"20 to 99",1,CA
"Hilltop Securities, LLC",,Open,11/26/2007,,"100 to 499",1,TX
"Hilton Financial Corporation",,Open,03/13/2008,,"5 to 9",1,AZ
"Hilton Mortgage Corporation",,Terminated,07/26/2012,06/01/2015,"5 to 9",1,AZ
"HireFamily, LLC","HireFamily, LLC",Open,10/22/2013,,"5 to 9",1,MA
"Hirst Insurance Agency, Inc","Meeky Hirst State Farm",Open,02/07/2020,,"5 to 9",1,GA
"Hispanic Loan Company, LLC",,Open,02/21/2020,,"20 to 99",17,TX
"HISPANIC OFFICES",,Open,02/09/2009,,"20 to 99",2,"MS, TN"
"Hitachi Capital America Corp",,Open,11/19/2008,,"100 to 499",1,CT
"Hiway Federal Credit Union",,Open,05/30/2018,,"100 to 499",1,MN
"Hiway Federal Credit Union",,Open,04/17/2017,,"100 to 499",1,MN
"Hixon Insurance Agency, Inc.",,Open,10/31/2011,,"5 to 9",1,SC
"HK Financial Services, Inc.",,Terminated,04/12/2019,06/23/2019,"20 to 99",11,IA
"HK Financial Services, Inc.",,Open,05/02/2019,,"20 to 99",1,IA
"HLB Gravier",,Open,07/28/2015,,"20 to 99",1,FL
"HLSS Management LLC.",,Open,06/25/2012,,"10 to 19",1,GA
"HM Benefits Administrators",,Open,08/15/2016,,"100 to 499",4,PA
"HM Benefits Administrators",,Terminated,05/02/2014,09/28/2016,"100 to 499",1,PA
"HM Capital Management",,Open,02/20/2014,,"5 to 9",1,MO
"HM Health Solutions Inc.",,Open,08/15/2016,,"5,000 to 9,999",6,"DE, PA"
"HM Home and Community Services LLC",,Open,08/17/2016,,"100 to 499",5,PA
"HM Home and Community Services LLC",,Terminated,02/01/2016,09/28/2016,"20 to 99",3,"DE, PA, WV"
"HM Life Insurance Company",,Open,08/15/2016,,"2,500 to 4,999",5,PA
"HM Life Insurance Company",,Terminated,05/02/2014,09/28/2016,"500 to 999",1,PA
"HM Life Insurance Company - NY",,Open,08/15/2016,,"5 to 9",1,PA
"HM Management LLC",,Open,12/18/2015,,"10 to 19",1,AZ
"HMA, Inc.","HMA II, Inc.; HMA Group Holdings, LLC.; Holmes Murphy and Associates, LLC.; Creative Risk Solutions.",Open,08/10/2016,,"500 to 999",15,"AZ, CO, IA, IL, KS, MO, MT, NE, OK, PA, SD, TX, WI"
HMA-INC.,,Open,04/08/2008,,"20 to 99",3,AZ
"HMC Investments",,Open,03/28/2012,,"5 to 9",1,AL
"HMC-New York Inc",,Open,03/28/2012,,"5 to 9",1,AL
"HMPG Pharmacy LLC",,Open,08/17/2016,,"20 to 99",1,PA
"HMS Group Inc","Oracle Marketing",Open,11/21/2016,,"5 to 9",1,MO
"HMS Highmark Medicare Services",,Terminated,08/20/2010,06/05/2014,"10,000 and over",1,PA
"HMS Holdings Corp",,Open,01/27/2015,,"2,500 to 4,999",80,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
"HMW &JK ENTERPRISES, INC.","ASIA PACIFIC GROUPS",Open,11/09/2018,,"20 to 99",1,CA
"HNA CAPITAL (U.S.) HOLDING LLC","HNA CAPITAL INTERNATIONAL",Open,01/10/2017,,"10 to 19",1,NY
"HNA CAPITAL US HOLDING LLC",,Open,10/19/2017,,"10 to 19",1,NY
"HNA Group North America LLC",,Open,09/22/2017,,"20 to 99",1,NY
"HNB First Bank",,Open,01/03/2020,,"20 to 99",1,AL
"HNB NATIONAL BANK",,Open,07/13/2011,,"100 to 499",1,MO
"HNB NATIONAL BANK",,Open,03/02/2010,,"100 to 499",1,MO
"Hodges Ford Insurance Agency Inc.",,Open,07/23/2012,,"5 to 9",1,AL
"Hodges-Mace Holdings, LLC",,Open,06/27/2012,,"100 to 499",1,GA
"Hodges-Mace, LLC",,Open,08/30/2016,,"500 to 999",2,GA
"Hoffman Brown Company",,Open,03/10/2020,,"20 to 99",1,CA
"Hogan Land Title company",,Open,03/28/2012,,"20 to 99",1,MO
"Hogan Taylor Beckham, LLC",,Open,06/24/2011,,"10 to 19",1,SC
"Hohman Insurance Agency Inc","Bob Hohman State Farm",Open,11/15/2019,,"5 to 9",1,SC
"Hola Seguros, LLC",,Open,09/01/2015,,"20 to 99",1,GA
"HoldCo Asset Management, L.P.",,Open,05/15/2018,,"5 to 9",1,NY
"Holder Insurance Agency",,Terminated,07/07/2017,07/13/2017,"10 to 19",1,FL
"Holder Insurance Agency",,Open,07/13/2017,,"10 to 19",1,FL
"Holladay Bank & Trust",,Open,08/29/2013,,"10 to 19",1,UT
"Holland Ave Tax","CRF Holland Ave Tax",Open,04/09/2014,,"5 to 9",1,TX
"HOLLOWAY CREDIT BUREAU CO. LLC",,Open,05/22/2012,,"10 to 19",1,AL
"Holman and Company",,Open,09/15/2015,,"10 to 19",1,GA
"Holman Professional Counseling Centers","The Holman Group",Open,04/18/2018,,"100 to 499",1,CA
"Holmes Murphy & Associates, Inc.",,Open,06/19/2009,,"500 to 999",12,"AZ, IA, IL, KS, MO, NE, SD, TX"
"Holmes, Inc",,Open,03/19/2013,,"5 to 9",1,GA
"Holocene Advisors, LP",,Terminated,03/05/2018,02/03/2020,"20 to 99",1,NY
"Holocene Advisors, LP","Holocene Advisors",Open,11/11/2019,,"20 to 99",1,NY
"Holy Rosary Regional Credit Union",,Open,11/12/2017,,"20 to 99",1,NH
"Home Abstract and Title Company",,Open,05/02/2019,,"20 to 99",1,TX
"Home BancShares, Inc.",,Open,03/24/2020,,"1,000 to 2,499",1,AR
"Home BancShares, Inc.",,Open,02/01/2018,,"1,000 to 2,499",4,"AR, FL"
"Home Bank",,Terminated,06/10/2009,09/21/2009,"100 to 499",1,LA
"Home Bank",,Open,07/18/2018,,"100 to 499",42,"LA, MS"
"Home Bank","Home Bank",Open,11/16/2011,,"100 to 499",4,LA
"Home Buyers Warranty Corp",,Terminated,10/20/2011,02/24/2017,"20 to 99",1,CO
"Home Credit US",,Open,04/17/2019,,"100 to 499",1,KS
"Home Credit US","Home Credit US",Open,01/30/2019,,"100 to 499",1,KS
"Home Federal Bank",,Open,01/09/2009,,"100 to 499",1,ID
"Home Federal Bank of Hollywood",,Open,06/03/2019,,"10 to 19",1,FL
"Home Federal Bank of Tennessee",,Open,06/18/2008,,"500 to 999",1,TN
"Home Federal Savings & Loan Assn.",,Open,01/30/2013,,"5 to 9",1,SC
"Home Federal Savings Bank",,Open,11/15/2018,,"100 to 499",16,"IA, MN, WI"
"Home Financial Group, LLC",,Open,05/07/2015,,"5 to 9",1,FL
"Home Financial Services of Anderson, Inc",,Open,01/04/2012,,"5 to 9",1,SC
"Home Funding Corporation","Nevada Home Funding Corporation",Open,10/10/2012,,"20 to 99",2,"CA, NV"
"HOME HEALTH OF  MONTANA PRIVATE SERVICES",,Open,01/02/2020,,"10 to 19",1,MT
"Home Loan Executives",,Open,02/04/2008,,"100 to 499",1,AZ
"Home Loan Network Corporation",,Open,11/27/2007,,"20 to 99",1,AZ
"Home Mortgage Alliance Corporation",,Open,07/09/2019,,"20 to 99",1,CA
"Home Mortgage Corporation",,Open,01/02/2018,,"5 to 9",1,GA
"HOME MORTGAGE RESOURCES INC",,Open,11/06/2008,,"20 to 99",1,ID
"Home Point Financial",,Open,01/09/2020,,"1,000 to 2,499",9,"AL, AZ, FL, IN, MI, NC, NJ, TX"
"Home Point Financial","Home Point Financial",Open,04/02/2018,,"1,000 to 2,499",58,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, KS, MA, MD, MI, MN, NC, NJ, NV, OH, PA, RI, TX, VA"
"Home Rescue Now LLC",,Open,02/10/2009,,"5 to 9",1,AZ
"Home Savings Bank",,Open,01/14/2011,,"10 to 19",1,UT
"Home Savings of America",,Open,03/30/2011,,"1,000 to 2,499",74,"CA, CO, DE, FL, GA, IA, IL, KS, MA, MD, MN, MT, NC, ND, NJ, NV, NY, OH, PA, RI, SC, TX, UT, VA, WV"
"HOME SERVICE USA",,Open,06/16/2008,,"100 to 499",2,"CT, FL"
"HOME STATE BANK",,Open,03/19/2008,,"20 to 99",5,MN
"Home State Bank N.A.","Home State Bank",Open,06/28/2019,,"100 to 499",11,"IL, WI"
"Home-Probe, Inc",,Open,07/02/2019,,"10 to 19",2,"GA, SC"
"HomeBridge Financial Services",,Open,09/03/2014,,"1,000 to 2,499",1,CA
"HomeBridge Financial Services, Inc.",,Open,02/03/2012,,"1,000 to 2,499",1,NJ
"HomeBridge Financial Services, Inc.",,Open,02/14/2018,,"2,500 to 4,999",225,"AL, AZ, CA, CO, CT, DE, FL, GA, HI, ID, IL, IN, KS, MA, MD, ME, MO, NC, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA"
"HomeBuilders SIF",,Open,03/06/2013,,"20 to 99",1,LA
"Homeland Community Bank",,Open,11/23/2016,,"20 to 99",1,TN
"Homeland Federal Savings Bank",,Open,12/14/2016,,"20 to 99",1,LA
"Homeland Federal Savings Bank",,Open,03/16/2017,,"20 to 99",1,LA
"Homeland HealthCare, Inc.",,Open,07/10/2009,,"100 to 499",1,TX
"Homelehders Financial Services, Inc.",,Open,12/17/2007,,"10 to 19",1,AZ
"Homeostasis Capital LLC",,Open,01/03/2020,,"5 to 9",1,NY
"HOMEOWNERS FINANCIAL GROUP USA",,Open,03/27/2020,,"100 to 499",39,"AL, AZ, CA, CO, FL, GA, IA, KS, MN, NC, NM, NV, SC, TX"
"Homeowners Financial Group USA, LLC",,Open,11/14/2008,,"20 to 99",1,AZ
"Homeowners Financial Group USA, LLC","Homeowners Financial Group",Open,01/08/2015,,"100 to 499",37,"AL, AZ, CA, CO, FL, GA, IA, KS, MN, NC, NM, NV, SC, SD, TN, TX"
"Homeowners Mortgage Enterprises, Inc.",,Open,09/08/2014,,"100 to 499",12,"FL, GA, NC, SC"
"HomeOwners Mortgage of America","Foundation Financial Group",Open,10/25/2011,,"100 to 499",12,"FL, GA, IN, MN, MO, NC, NY, OH, TX"
"Homeowners Mortgage of America, INC",,Open,05/24/2012,,"100 to 499",1,FL
"Homeowners of America Insurance Company",,Open,01/02/2015,,"20 to 99",1,TX
"Homeplus Finance Corporation",,Open,01/26/2012,,"10 to 19",1,CA
"HomeQuest Mortgage",,Open,04/10/2006,,"5 to 9",1,GA
"HomeServices Mortgage Corp.",,Open,12/08/2014,,"20 to 99",12,"AZ, CA, FL, GA, IA, KS, MD, MN, MO, NC, NE, OH"
"Homeside Financial","Homeside Financial",Open,05/19/2016,,"20 to 99",9,"AL, GA, NC, SC"
"Homesite Insurance",,Open,03/09/2011,,"1,000 to 2,499",4,"AZ, MA, NY, OH"
"Homespire Mortgage",,Open,07/18/2019,,"20 to 99",1,MD
"Homespire Mortgage Corp.",,Terminated,04/01/2019,05/02/2019,"100 to 499",1,MD
"Homespire Mortgage Corporation",,Open,10/03/2019,,"100 to 499",1,MD
"Homestar Financial Corporation",,Open,11/29/2012,,"20 to 99",1,GA
"Homestar Financial Corporation",,Open,09/26/2016,,"500 to 999",1,GA
"Homestar Financial Corporation",,Open,07/20/2012,,"100 to 499",1,GA
"Homesteaders Life Company",,Open,12/30/2016,,"100 to 499",1,IA
"HomeStreet Bank",,Open,11/06/2017,,"10,000 and over",1,HI
"HomeStreet Bank","HomeStreet Bank",Open,12/05/2014,,"1,000 to 2,499",1,WA
"Hometown Bank",,Terminated,09/27/2013,02/06/2017,"20 to 99",1,OH
"Hometown Bank of Alabama",,Terminated,09/16/2013,12/06/2019,"20 to 99",1,AL
"HomeTown Bank of Alabama",,Terminated,01/01/2012,01/30/2016,"20 to 99",1,AL
"Hometown Bank of Alabama","Hometown Bank of Alabama",Open,10/22/2019,,"20 to 99",1,AL
"Hometown Bank of the Hudson Valley",,Open,09/04/2009,,"20 to 99",1,NY
"Hometown Lenders LLC",,Open,03/30/2012,,"100 to 499",1,AL
"Hometown Lenders, Inc.","Hometown Lenders",Open,02/13/2018,,"100 to 499",1,AL
"hometown mortgage services",,Open,04/29/2008,,"20 to 99",1,AL
"Hometown National Bank",,Open,02/19/2013,,"100 to 499",2,"CA, WA"
"HomeTrust Bank",,Open,12/17/2012,,"100 to 499",1,NC
"HOMETRUST MORTGAGE COMPANY",,Open,03/19/2014,,"100 to 499",1,TX
"Hometrust Mortgage, Inc.",,Open,03/29/2017,,"10 to 19",1,GA
"Homeward Residential",,Terminated,10/13/2011,10/18/2013,"1,000 to 2,499",4,"FL, TX"
"HomeXpress Mortgage Corp",,Open,08/14/2019,,"100 to 499",1,CA
"Homie Loans",,Open,02/11/2020,,"20 to 99",1,UT
"Homrich & Berg, Inc.","Homrich Berg",Open,06/28/2013,,"20 to 99",1,GA
"Honda Federal Credit Union",,Open,04/16/2013,,"100 to 499",1,CA
"HONE CAPITAL LLC",,Open,12/12/2018,,"10 to 19",1,CA
"Honeywell Aerospace Federal Credit Union",,Open,04/28/2009,,"20 to 99",1,AZ
"Honor Bank",,Open,09/06/2019,,"20 to 99",1,MI
"HonTe Investments LLC","HonTe Investments",Open,11/14/2019,,"5 to 9",1,CA
"Hood Insurance Agency, Inc",,Open,04/21/2011,,"5 to 9",1,GA
"Hooper Holmes",,Open,01/27/2010,,"1,000 to 2,499",1,NJ
"Hoosier Hills Credit Union","Hoosier Hills Credit Union",Open,08/11/2017,,"100 to 499",1,IN
"Hope Aviation Insurance",,Open,08/11/2011,,"10 to 19",1,SC
"Hope Enterprise Corporation","Hope Enterprise Corporation",Open,09/11/2019,,"100 to 499",25,"AL, AR, LA, MS, TN"
"Hope Enterprise Corporation/Hope Credit Union",Hope,Open,06/20/2008,,"100 to 499",18,"AR, LA, MS, TN"
"HopeSouth Federal Credit Union",,Open,06/14/2013,,"5 to 9",1,SC
"Hopkins Loan Services",,Open,10/16/2012,,"20 to 99",1,ID
"Horace Mann Service Corporation",,Open,09/17/2015,,"1,000 to 2,499",3,"IL, NC, TX"
"HORIZON BANK",,Terminated,04/06/2012,11/09/2019,"20 to 99",1,AL
"Horizon Bank",NA,Open,04/18/2017,,"500 to 999",59,"IN, MI, OH"
"Horizon Bank SSB",,Open,05/07/2014,,"100 to 499",5,TX
"Horizon Blue Cross Blue Shield of NJ",,Open,04/13/2012,,"5,000 to 9,999",4,NJ
"Horizon Blue Cross Blue Shield of NJ",,Terminated,03/24/2010,03/28/2014,"2,500 to 4,999",1,NJ
"Horizon Community Bank",,Open,06/20/2008,,"20 to 99",5,AZ
"Horizon Community Bank",,Terminated,10/12/2007,12/29/2010,"20 to 99",1,AZ
"Horizon Credit Union",,Open,07/01/2008,,"10 to 19",1,WI
"Horizon Family Office",,Open,06/24/2016,,"5 to 9",1,NY
"Horizon Federal Credit Union",,Open,10/05/2015,,"20 to 99",2,PA
"Horizon Investments LLC",,Open,08/02/2019,,"20 to 99",1,NC
"Horizon Investments LLC",,Open,02/25/2019,,"20 to 99",1,NC
"Horizon Utah Federal Credit Union","Horizon credit Union",Open,06/24/2010,,"20 to 99",5,UT
"Horizons North Credit Union",,Terminated,11/05/2015,02/06/2020,"10 to 19",1,CO
"Horizons PEO, Inc.",,Open,05/05/2010,,"100 to 499",1,GA
"Hornor, Townsend and Kent",,Open,08/17/2015,,"10 to 19",1,PA
"HORRY COUNTY STATE BANK",,Open,03/04/2010,,"100 to 499",1,SC
"Horsepower Financial LLC","Horsepower Financial Services",Open,02/21/2020,,"5 to 9",1,OH
"Horton Financial Services, Inc.",,Open,05/16/2012,,"5 to 9",1,SC
"Horton Insurance Agency, LLc",,Open,08/27/2012,,"5 to 9",1,AL
"Horton Point LLC",,Open,06/20/2012,,"5 to 9",1,NY
"HOSEA WILLIAMS BAIL BONDING, INC",,Open,10/06/2009,,"10 to 19",1,GA
"Hoskinson Insurance Agency, Inc.",,Open,10/08/2015,,"5 to 9",1,WA
"HOSLER WEALTH MANAGEMENT LLC",,Open,08/15/2012,,"5 to 9",1,AZ
"Hospital Services Assoc. Inc.","APS Medical Billing",Open,09/14/2017,,"100 to 499",1,OH
"Hospital Services Association BlueCross of NEPA",,Open,09/04/2009,,"1,000 to 2,499",1,PA
"Hotchkis and Wiley Capital Management, LLC","Hotchkis and Wiley Capital Management, LLC",Open,04/14/2011,,"20 to 99",1,CA
"Hotchkiss Financial, Inc.",,Open,03/31/2008,,"5 to 9",1,AZ
"Houchens Insurance Group",,Open,03/09/2018,,"20 to 99",1,KY
"Houihan Lokey",,Open,09/30/2013,,"100 to 499",10,"CA, FL, GA, IL, MN, NY, TX, VA"
"Houlihan Lokey",,Open,03/21/2012,,"500 to 999",8,"CA, GA, IL, MN, NY, TX, VA"
"Houma HPA, LLC",,Terminated,01/07/2016,11/08/2018,"10 to 19",1,TX
"House Financial, LLC",,Open,11/13/2008,,"10 to 19",1,AZ
"Householder Group, LLP",,Open,10/22/2007,,"10 to 19",1,AZ
"Housing Finance Agency",,Terminated,04/02/2010,04/05/2011,"100 to 499",1,MN
"Houston Federal CU",,Terminated,06/29/2018,08/02/2018,"100 to 499",2,"SC, TX"
"Houston Federal CU",,Open,07/03/2018,,"100 to 499",2,"SC, TX"
"Houston Police Federal Credit Union",,Open,05/18/2015,,"20 to 99",1,TX
"Houze & Associates, Inc.","Houze & Associates",Open,04/10/2012,,"10 to 19",1,GA
"HOWARD  B SMITH AGENCY OF MULLINS INC",,Open,11/19/2014,,"5 to 9",1,SC
"HOWARD B SMITH AGENCY OF MULLINS INC",,Open,04/30/2014,,"5 to 9",1,SC
"Howard Bank",,Terminated,02/14/2018,02/16/2018,"100 to 499",1,MD
"HOWARD BANK",,Open,12/08/2014,,"100 to 499",18,"MD, PA"
"Howard Capital Management Inc",,Open,08/31/2016,,"10 to 19",1,GA
"Howden Insurance LLC",,Open,07/18/2012,,"20 to 99",1,FL
"Howe Mortgage Corporation",,Terminated,01/03/2008,04/20/2010,"5 to 9",1,AZ
"Howland Capital Management",,Open,02/24/2009,,"20 to 99",1,MA
"Hoya Insurance Agency Inc",,Open,05/07/2016,,"10 to 19",1,CA
"Hoyt, Lewis & Associates LLC","Hoyt, Lewis & Associates LLC",Open,03/26/2014,,"5 to 9",1,WA
"HPS Investment Partners LLC",,Open,03/26/2019,,"100 to 499",1,NY
"HQ Capital Private Equity LLC",,Open,09/22/2015,,"20 to 99",1,NY
"HR PLUS ADVANTAGE, LLC","HR PLUS ADVANTAGE, LLC",Open,03/20/2020,,"100 to 499",1,KY
"HR Simplified",,Open,04/29/2013,,"10 to 19",1,MN
"HRA Risk Services, LLC",,Open,05/03/2012,,"5 to 9",1,AL
"HRB Block Support Services, LLC",,Open,04/24/2008,,"100 to 499",1,MO
"HRB Tax Group Inc",,Terminated,01/03/2011,03/02/2020,"10,000 and over",1,AZ
"HRemedy, Inc.",,Open,03/13/2009,,"5 to 9",1,CA
